count,length
6882,1
11329,2
21150,3
93745,4
1343431,5
8495314,6
6284461,7
6503936,8
3937941,9
2942724,10
1152317,11
678146,12
423293,13
276376,14
176698,15
126645,16
~ 38908,17
~ 24724,18
~ 15703,19
~ 13301,20
~ 7760,21
~ 6169,22
~ 4830,23
~ 4209,24
~ 2911,25
~ 2335,26
~ 1805,27
~ 1190,28
~ 765,29
~ 1012,30
~ 447,31
~ 393,32
~ 292,33
~ 189,34
~ 133,35
~ 184,36
~ 88,37
~ 69,38
~ 121,39
~ 65,40
~ 43,41
~ 80,42
~ 40,43
~ 33,44
~ 55,45
~ 20,46
~ 24,47
~ 37,48
~ 16,49
~ 22,50
~ 23,51
~ 15,52
~ 14,53
~ 22,54
~ 26,55
~ 13,56
~ 18,57
~ 18,58
~ 12,59
~ 18,60
~ 22,61
~ 7,62
~ 16,63
~ 15,64
~ 7,65
~ 8,66
~ 9,67
~ 6,68
~ 19,69
~ 15,70
~ 46,71
~ 7,72
~ 6,73
~ 11,74
~ 11,75
~ 6,76
~ 4,77
~ 4,78
~ 6,79
~ 5,80
~ 6,81
~ 3,82
~ 3,83
~ 7,84
~ 3,85
~ 5,87
~ 4,88
~ 2,90
~ 3,91
~ 2,92
~ 3,94
~ 1,95
~ 4,96
~ 1,97
~ 2,98
~ 1,99
~ 1,100
~ 7,101
~ 2,102
~ 1,103
~ 3,108
~ 2,109
~ 2,111
~ 1,113
~ 1,115
~ 2,117
~ 1,123
~ 1,124
~ 1,125
~ 1,126
~ 1,129
~ 1,131
~ 1,132
~ 1,133
~ 1,138
~ 2,142
~ 3,146
~ 2,150
~ 1,153
~ 1,162
~ 3,165
~ 1,188
~ 1,189
~ 1,192
~ 1,198
~ 1,200
~ 1,210
~ 1,218
~ 1,228
~ 1,230
~ 1,239
~ 9,255
